address,lastTradeTime_EST,decimals,lastTradeUnixTime,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,token_link
BcGjTTJtSE8VLbwqW6SFDfZHfcfxdpXKUZyGR33UfPTB,2024-04-21 09:01:13-04:00,9.0,1713704473,3127.4995156760488,1880.0301407440425,Quackcoin,QUACK,,28299.498046643683,https://birdeye.so/token/BcGjTTJtSE8VLbwqW6SFDfZHfcfxdpXKUZyGR33UfPTB
6DyABHzbp5LD9p9Hj88V4tWm9yVAd1q9QJDZCBoQfBJv,2024-04-21 08:59:53-04:00,8.0,1713704393,3342.056451590586,5253.696885474985,As$Ton KuRtZEr,A$$,,27349.76468892984,https://birdeye.so/token/6DyABHzbp5LD9p9Hj88V4tWm9yVAd1q9QJDZCBoQfBJv
HMaLDzwLjfAMXpKFNHr9oD17stegGcaytV7Sc5LemkSk,2024-04-21 09:01:26-04:00,9.0,1713704486,2572.3923990203302,3617.061447848267,Sem Benkmen Fraud,ftx420,,27077.95778963437,https://birdeye.so/token/HMaLDzwLjfAMXpKFNHr9oD17stegGcaytV7Sc5LemkSk
CPAe5wow2v7rc1QhkgEq44n8A6BbRgkJ3hYMdQdkXH3,2024-04-21 08:56:28-04:00,9.0,1713704188,4074.287294944292,2672.089602564102,Kanye EAST,KEAST,,26942.851231481683,https://birdeye.so/token/CPAe5wow2v7rc1QhkgEq44n8A6BbRgkJ3hYMdQdkXH3
3Y2Qwdmj1RkSFyue3BS9ScXCqak8T3KxYQh67fzcc4D7,2024-04-21 08:40:50-04:00,9.0,1713703250,4011.994087525261,3456.5782238880074,Token 420,420T,,26579.87699023136,https://birdeye.so/token/3Y2Qwdmj1RkSFyue3BS9ScXCqak8T3KxYQh67fzcc4D7
Cgk6EdmCzDvLf7oz9WUEwgXixw7swq7LoHAeQvVHYwy1,2024-04-21 08:18:44-04:00,9.0,1713701924,2797.5776496205717,2275.71925013989,SHIPPO,SHIPPO,,26467.542952152748,https://birdeye.so/token/Cgk6EdmCzDvLf7oz9WUEwgXixw7swq7LoHAeQvVHYwy1
GTXntntMwcGb62UG9oP1oEZD6knyWZQWk895TGK2JEh2,2024-04-21 08:57:52-04:00,8.0,1713704272,3068.1789984694333,2215.2197033427387,Cat in sour cat,SOURCAT,,26026.451532941777,https://birdeye.so/token/GTXntntMwcGb62UG9oP1oEZD6knyWZQWk895TGK2JEh2
Gi8TaS9jNNcQ1PfNPszrvfrFUszekecDc7y6H8dDbqB9,2024-04-21 08:31:42-04:00,6.0,1713702702,2238.1703554227747,1398.1876239955402,Bluetooth,BTOOTH,,26024.880961012408,https://birdeye.so/token/Gi8TaS9jNNcQ1PfNPszrvfrFUszekecDc7y6H8dDbqB9
4VPz4wVTNHPUB8A5zbyRnmFb7EDUdAJruRzH5cgmZVKe,2024-04-21 08:57:00-04:00,9.0,1713704220,4812.030799770595,5404.714046929998,BULLET,BULLET,,24106.2118803591,https://birdeye.so/token/4VPz4wVTNHPUB8A5zbyRnmFb7EDUdAJruRzH5cgmZVKe
FWAmFdh8V1gQ7BS8gXHygqtZdAf5NVsBcq19jWBn4ePz,2024-04-21 08:14:49-04:00,6.0,1713701689,2209.1099799130325,2037.180649969161,horry puttor,PUTTOR,,22976.344510866584,https://birdeye.so/token/FWAmFdh8V1gQ7BS8gXHygqtZdAf5NVsBcq19jWBn4ePz
66dnuPTyWTVVJNWWh9ZYd9QXURMHS6dWfKY17QhNZDsu,2024-04-21 08:59:53-04:00,6.0,1713704393,4970.682837988148,5518.1852795401755,The Budz,BUDZ,,21118.672137438476,https://birdeye.so/token/66dnuPTyWTVVJNWWh9ZYd9QXURMHS6dWfKY17QhNZDsu
7vjhFfTCmdztKeswYXFw3WcAyFhFy1ZKFoDC3VUVRzsy,2024-04-21 08:43:41-04:00,9.0,1713703421,3692.3155815880305,2708.2501061756193,MAGASHOT,MAGA,,19085.81839946707,https://birdeye.so/token/7vjhFfTCmdztKeswYXFw3WcAyFhFy1ZKFoDC3VUVRzsy
3SbDt7zYzzhRb1sA4iJpUUZRBo3RHV4aMeFuEAQDp9oF,2024-04-21 08:56:25-04:00,9.0,1713704185,5230.172343701804,6321.830064915436,BarkBuks,BARK,,18663.512552605254,https://birdeye.so/token/3SbDt7zYzzhRb1sA4iJpUUZRBo3RHV4aMeFuEAQDp9oF
AqszaKCCCdrXeMZdRmLVhswJpQnFwP78MR4NtLAh5T16,2024-04-21 08:59:53-04:00,9.0,1713704393,7261.151163446006,8983.20635023506,TRUMPTIME,DONvsJOE,,15811.155652320587,https://birdeye.so/token/AqszaKCCCdrXeMZdRmLVhswJpQnFwP78MR4NtLAh5T16
5JPWDuEus2cofmJdevAPsaHHxajELcZTapGFehpFSnND,2024-04-21 09:00:11-04:00,9.0,1713704411,5229.4210800577,3781.700981254589,VOYAGERZ,VOY,,15337.887075371307,https://birdeye.so/token/5JPWDuEus2cofmJdevAPsaHHxajELcZTapGFehpFSnND
5CCCuZ5EbMv2FpA7ur2nqd5RU3jowVVstwHGxJvc6KLK,2024-04-21 09:01:04-04:00,9.0,1713704464,2631.7753823286052,4746.9883623290225,DogWifTruckNuts,TRUCKNUTS,,13099.763596803983,https://birdeye.so/token/5CCCuZ5EbMv2FpA7ur2nqd5RU3jowVVstwHGxJvc6KLK
7cLrAzi1yjd5UtfY2k8J1ddEQGUdC1ZHaxW7qcUGZYjn,2024-04-21 08:55:09-04:00,9.0,1713704109,2845.3299457532753,2292.343538600222,DUCKDUCK,DKDK,,12206.202325454944,https://birdeye.so/token/7cLrAzi1yjd5UtfY2k8J1ddEQGUdC1ZHaxW7qcUGZYjn
3yFtuxbY7mierUu6sHTNJa1FLhdB8FdivrZCS5BNSKz1,2024-04-21 08:26:10-04:00,6.0,1713702370,3010.405783148251,11922.8061150198,DragonBallC,DBC,,11679.101402672692,https://birdeye.so/token/3yFtuxbY7mierUu6sHTNJa1FLhdB8FdivrZCS5BNSKz1
9NvCToGgKYvuD8ajaUBiMWVn2MC4dexXCbNijvVBrDwm,2024-04-21 08:35:23-04:00,9.0,1713702923,2113.5682828548793,7437.466539060769,Pyongyang Chads,$FKIM,,11286.208902763216,https://birdeye.so/token/9NvCToGgKYvuD8ajaUBiMWVn2MC4dexXCbNijvVBrDwm
bqFBpw4TAwF1UZdKCdYEkY82qWVEpMMCH1PvKNpem91,2024-04-21 08:29:50-04:00,9.0,1713702590,2762.3258012913284,3622.9149741019232,Elon Tweets,ETWEET,,9656.372370599753,https://birdeye.so/token/bqFBpw4TAwF1UZdKCdYEkY82qWVEpMMCH1PvKNpem91
Dd2jW9XWcrJFJ3d5zwtm4mYH5Ei1w5aTDp7PrPi1of2z,2024-04-21 08:56:40-04:00,9.0,1713704200,3624.4094423877286,3226.0424948497052,Dancing Dog Coin,DancingD,,8659.618592940778,https://birdeye.so/token/Dd2jW9XWcrJFJ3d5zwtm4mYH5Ei1w5aTDp7PrPi1of2z
D7g3Z2WCNj6V5jeW1Dmw8dGBFyMqtetJWdwhbJQnyJyC,2024-04-21 09:02:15-04:00,9.0,1713704535,2100.60378826695,1709.3319985471348,PEPE WEED $420,PEWEED,,4434.191254994161,https://birdeye.so/token/D7g3Z2WCNj6V5jeW1Dmw8dGBFyMqtetJWdwhbJQnyJyC
7hDjdP9YXiJNTAwbc2DZBaonaKEbDs6vEKaUjW3uUuV9,2024-04-21 09:02:15-04:00,9.0,1713704535,2702.0560734901856,140.09338522718676,Cat Cash,CATC,,4305.103416078473,https://birdeye.so/token/7hDjdP9YXiJNTAwbc2DZBaonaKEbDs6vEKaUjW3uUuV9
4fShvhZ23moC39ybGD2KUbdwwEPBnr5nL6YqKqQRUsam,2024-04-21 08:46:48-04:00,6.0,1713703608,11815.768733938516,16975.937498519175,PIGGYBONKI,PIGGYBONKI,,3077.249256435786,https://birdeye.so/token/4fShvhZ23moC39ybGD2KUbdwwEPBnr5nL6YqKqQRUsam
4aBAQnhQZt4ikJ2CZBsN8hobAr9AVt739ga988MsbjsX,2024-04-21 09:02:16-04:00,9.0,1713704536,3604.877115267456,7660.677241586548,CofffeePEPE,cPEPE,,2163.6417717519803,https://birdeye.so/token/4aBAQnhQZt4ikJ2CZBsN8hobAr9AVt739ga988MsbjsX
